"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-01-26",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-01-27",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-01-28",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-01-29",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-02-06",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-03-09",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-03-27",,,"0.02",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-04",,,"0.11",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-05",,,"0.01",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-06",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-07",,,"1.50",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-08",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-09",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-10",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-11",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-12",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-13",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-14",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-15",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-16",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-17",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-18",,,"0.10",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-19",,,"0.01",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-20",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-21",,,"0.11",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-22",,,"0.03",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-25",,,"0.25",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-26",,,"0.09",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-27",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-28",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-29",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-04-30",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-01",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-02",,,"0.01",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-03",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-04",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-05",,,"0.94",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-15",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-16",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-22",,,"0.22",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-25",,,"0.67",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-26",,,"0.28",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-27",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-28",,,"0.02",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-29",,,"0.10",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-30",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-05-31",,,"0.26",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-01",,,"0.08",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-02",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-03",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-04",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-05",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-06",,,"0.02",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-08",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-09",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-10",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-11",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-12",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-13",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-14",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-15",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-16",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-17",,,"0.16",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-18",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-19",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-20",,,"0.68",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-21",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-22",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-23",,,"0.12",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-27",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-28",,,"0.06",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-29",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-06-30",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-01",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-02",,,"0.48",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-03",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-04",,,"0.00","0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-05",,,"0.04",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-06",,,"1.15",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-07",,,"0.34",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-08",,,"0.01",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-09",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-10",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-11",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-12",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-13",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-14",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-15",,,"1.13",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-18",,,"0.41",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-19",,,"0.01",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-20",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-21",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-22",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-23",,,"0.57",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-24",,,"1.22",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-25",,,"0.03",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-26",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-07-27",,,"0.00",,,,,,,,,
